Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
257,4q87,refined,Protein-Ligand,1.55,Ki=14uM,4.85,2015,human Carbonic anhydrase 2,4FH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
258,4q8x,refined,Protein-Ligand,1.55,Ki=270uM,3.57,2015,human Carbonic anhydrase 2,7FH,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
259,4q8y,refined,Protein-Ligand,1.45,Ki=2300uM,2.64,2015,human Carbonic anhydrase 2,HQT,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
260,4q90,refined,Protein-Ligand,1.54,Ki=7.0mM,2.15,2015,human Carbonic anhydrase 2,4H2,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
261,4q99,refined,Protein-Ligand,1.5,Ki=0.52uM,6.28,2015,human Carbonic anhydrase 2,HT4,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
262,4q9y,refined,Protein-Ligand,1.55,Ki=2.1uM,5.68,2015,human Carbonic anhydrase 2,M3T,25116076,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 7126-7135,P00918
263,4qiy,general,Protein-Ligand,1.3,Kd=50nM,7.3,2015,human carbonic anhydrase isozyme II,WWX,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,P00918
264,4qiz,general,Protein-Ligand,1.55,Kd=7.1nM,8.15,2015,human carbonic anhydrase isozyme XIII,WWX,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,Q8N1Q1
265,4qj0,refined,Protein-Ligand,1.55,Kd=48nM,7.32,2015,human carbonic anhydrase isozyme XII,WWX,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,O43570
266,4qjm,general,Protein-Ligand,1.75,Kd=6.7nM,8.17,2015,human carbonic anhydrase isozyme II,V1F,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,P00918
267,4qjo,general,Protein-Ligand,1.8,Kd=40nM,7.4,2015,catalytic domain of human carbonic anhydrase isozyme XII,V1F,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,O43570
268,4qjp,general,Protein-Ligand,1.62,Kd=2.5nM,8.6,2015,human carbonic anhydrase isozyme XIII,V1F,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,Q8N1Q1
269,4qjw,refined,Protein-Ligand,1.55,Kd=16nM,7.8,2015,human carbonic anhydrase isozyme XII,WWO,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,O43570
270,4qjx,refined,Protein-Ligand,1.95,Kd=52nM,7.28,2015,human carbonic anhydrase isozyme XIII,WWO,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,Q8N1Q1
271,4qtl,refined,Protein-Ligand,1.8,Kd=120nM,6.92,2015,human carbonic anhydrase isozyme II,WWO,25758852,0,E.C.4.2.1.1,(2015) Chemmedchem Vol. 10: pp. 662-687,P00918
272,4qy3,refined,Protein-Ligand,1.5,Ki=0.15uM,6.82,2014,Carbonic anhydrase 2 HCAII,3G1,25407638,0,E.C.4.2.1.1,(2014) Chem.Commun.(Camb.) Vol. 51: pp. 302-305,P00918
273,4r59,refined,Protein-Ligand,1.65,Ki=11nM,7.96,2014,Carbonic anhydrase 2 CAIX-mimic,3J3,25254302,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 8635-8645,P00918
274,4r5a,refined,Protein-Ligand,1.64,Ki=2nM,8.7,2014,Carbonic anhydrase 2 CAIX-mimic,3J4,25254302,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 8635-8645,P00918
275,4r5b,refined,Protein-Ligand,1.5,Ki=185nM,6.73,2014,Carbonic anhydrase 2 CAII,3J4,25254302,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 8635-8645,P00918
276,4rfc,refined,Protein-Ligand,1.65,Ki=5.7nM,8.24,2015,human Carbonic anhydrase 2,3O1,25358036,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9673-9686,P00918
277,4rfd,refined,Protein-Ligand,1.63,Ki=8.9nM,8.05,2015,human Carbonic anhydrase 2,3O5,25358036,0,E.C.4.2.1.1,(2014) J.Med.Chem. Vol. 57: pp. 9673-9686,P00918
278,4riu,refined,Protein-Ligand,1.65,Ki=50nM,7.3,2015,human Carbonic Anhydrase IX Mimic,3QR,25614109,0,E.C.4.2.1.1,(2015) Bioorg.Med.Chem. Vol. 23: pp. 849-854,P00918
279,4riv,refined,Protein-Ligand,1.63,Ki=100nM,7,2015,human Carbonic Anhydrase IX Mimic,LSA,25614109,0,E.C.4.2.1.1,(2015) Bioorg.Med.Chem. Vol. 23: pp. 849-854,P00918
280,4rn4,refined,Protein-Ligand,1.53,Ki=114nM,6.94,2015,Human Carbonic anhydrases II,3T7,25581127,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 1494-1501,P00918
281,4rux,refined,Protein-Ligand,1.14,Ki=12nM,7.92,2015,human Carbonic Anhydrase II,3W3,25766630,0,E.C.4.2.1.1,(2015) Bioorg.Med.Chem. Vol. 23: pp. 1828-1840,P00918
282,4ruy,refined,Protein-Ligand,1.14,Ki=12.8nM,7.89,2015,human Carbonic Anhydrase II,3W6,25766630,0,E.C.4.2.1.1,(2015) Bioorg.Med.Chem. Vol. 23: pp. 1828-1840,P00918
283,4ruz,refined,Protein-Ligand,1.63,Ki=23.1nM,7.64,2015,human Carbonic Anhydrase II,3W8,25766630,0,E.C.4.2.1.1,(2015) Bioorg.Med.Chem. Vol. 23: pp. 1828-1840,P00918
284,4wr7,general,Protein-Ligand,1.5,Kd=0.002nM,11.7,2015,human carbonic anhydrase isozyme I,3TV,26079542,0,E.C.4.2.1.1,(2015) Biophys.Chem. Vol. 205: pp. 51-65,P00915
285,4wup,general,Protein-Ligand,1.75,Kd=0.15nM,9.82,2015,human carbonic anhydrase isozyme I,3UF,26079542,0,E.C.4.2.1.1,(2015) Biophys.Chem. Vol. 205: pp. 51-65,P00915
286,4ww6,general,Protein-Ligand,1.06,Kd=0.062nM,10.21,2015,human carbonic anhydrase isozyme II,3TV,26079542,0,E.C.4.2.1.1,(2015) Biophys.Chem. Vol. 205: pp. 51-65,P00918
287,4ww8,general,Protein-Ligand,1.42,Kd=0.067nM,10.17,2015,human carbonic anhydrase isozyme XII,VD9,26079542,0,E.C.4.2.1.1,(2015) Biophys.Chem. Vol. 205: pp. 51-65,O43570
288,4xe1,general,Protein-Ligand,1.8,Ki=77.3nM,7.11,2015,Carbonic anhydrase 2,IL5,25733161,0,E.C.4.2.1.1,(2015) Org.Biomol.Chem. Vol. 13: pp. 4064-4069,P00918
289,4ygf,refined,Protein-Ligand,2,Ki=21nM,7.68,2015,Helicobacter pylori alpha-Carbonic Anhydrase,AZM,26010545,0,E.C.-.-.-.-,(2015) Plos One Vol. 10: pp. 1-13,A0A0M3KL20
290,4yha,refined,Protein-Ligand,2.2,Ki=225nM,6.65,2015,Helicobacter pylori alpha-Carbonic Anhydrase,MZM,26010545,0,E.C.-.-.-.-,(2015) Plos One Vol. 10: pp. 1-13,A0A0M3KL20
291,4yx4,refined,Protein-Ligand,1.01,Kd=1073.4nM,5.97,2016,Human Carbonic Anhydrase II,FB2,26700575,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 4245-4256,P00918
292,4yxi,refined,Protein-Ligand,0.96,Kd=318.8nM,6.5,2016,Human Carbonic Anhydrase II,4J8,26700575,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 4245-4256,P00918
293,4yxo,general,Protein-Ligand,1.06,Kd=91.4nM,7.04,2016,Human Carbonic Anhydrase II,4JC,26700575,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 4245-4256,P00918
294,4yxu,general,Protein-Ligand,1.08,Kd=57.4nM,7.24,2016,Human Carbonic Anhydrase II,4JE,26700575,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 4245-4256,P00918
295,4yyt,refined,Protein-Ligand,1.07,Kd=418.3nM,6.38,2016,Human Carbonic Anhydrase II,S2O,26700575,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 4245-4256,P00918
296,4z0q,refined,Protein-Ligand,1.45,Ki=6.8nM,8.17,2015,human Carbonic anhydrase 2,4K9,26276436,0,E.C.4.2.1.1,(2015) Eur.J.Med.Chem. Vol. 102: pp. 223-232,P00918
297,4z1e,refined,Protein-Ligand,2.01,Ki=5.7nM,8.24,2015,human Carbonic anhydrase 2,DF5,26276436,0,E.C.4.2.1.1,(2015) Eur.J.Med.Chem. Vol. 102: pp. 223-232,P00918
298,4z1j,refined,Protein-Ligand,1.27,Ki=7.7nM,8.11,2015,human Carbonic anhydrase 2,4KC,26276436,0,E.C.4.2.1.1,(2015) Eur.J.Med.Chem. Vol. 102: pp. 223-232,P00918
299,4z1k,refined,Protein-Ligand,1.35,Ki=4.7nM,8.33,2015,human Carbonic anhydrase 2,4KB,26276436,0,E.C.4.2.1.1,(2015) Eur.J.Med.Chem. Vol. 102: pp. 223-232,P00918
300,4z1n,general,Protein-Ligand,1.47,Ki=5.89nM,8.23,2015,human Carbonic anhydrase 2,4KD,26276436,0,E.C.4.2.1.1,(2015) Eur.J.Med.Chem. Vol. 102: pp. 223-232,P00918
301,4zwx,refined,Protein-Ligand,1.7,Ki=2nM,8.7,2015,Carbonic anhydrase hCA IX-mimic,5KZ,26203869,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 6630-6638,P00918
302,4zwy,general,Protein-Ligand,1.5,Ki=2nM,8.7,2015,Carbonic anhydrase hCA IX-mimic,4SN,26203869,0,E.C.4.2.1.1 ,(2015) J.Med.Chem. Vol. 58: pp. 6630-6638,P00918
303,4zwz,refined,Protein-Ligand,1.62,Ki=2nM,8.7,2015,Carbonic anhydrase hCA IX-mimic,510,26203869,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 6630-6638,P00918
304,4zx0,refined,Protein-Ligand,1.6,Ki=10nM,8,2015,Carbonic anhydrase 2,5L2,26203869,0,E.C.4.2.1.1,(2015) J. Med. Chem. Vol. 58: pp. 6630-6638,P00918
305,4zx1,refined,Protein-Ligand,1.5,Ki=725nM,6.14,2015,Carbonic anhydrase 2,5L3,26203869,0,E.C.4.2.1.1,(2015) J. Med. Chem. Vol. 58: pp. 6630-6638,P00918
306,5a6h,general,Protein-Ligand,1.57,Ki=88.0nM,7.06,2016,CARBONIC ANHYDRASE 2,OE2,27172398,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 5462-5470,P00918
307,5amd,refined,Protein-Ligand,1.5,Ki=2.8nM,8.55,2015,human carbonic anhydrase II,45I,25813715,0,E.C.4.2.1.1,(2015) Chem.Commun.(Camb.) Vol. 51: pp. 7108-7111,P00918
308,5amg,refined,Protein-Ligand,1.55,Ki=6.0nM,8.22,2015,human carbonic anhydrase II,IW7,25813715,0,E.C.4.2.1.1,(2015) Chem.Commun.(Camb.) Vol. 51: pp. 7108-7111,P00918
309,5aml,refined,Protein-Ligand,1.36,Ki=0.7nM,9.15,2015,human carbonic anhydrase II,51J,25813715,0,E.C.4.2.1.1,(2015) Chem.Commun.(Camb.) Vol. 51: pp. 7108-7111,P00918
310,5byi,refined,Protein-Ligand,1.15,Ki=30.7nM,7.51,2015,human carbonic anhydrase 2,4WA,26199669,0,E.C.4.2.1.1,(2015) Beilstein J Org Chem Vol. 11: pp. 1129-1135,P00918
311,5cjf,refined,Protein-Ligand,1.83,Ki=0.26nM,9.59,2015,human carbonic anhydrase XIV,520,26497049,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 8564-8572,Q9ULX7
312,5doh,general,Protein-Ligand,1.05,Kd=32nM,7.49,2016,Carbonic anhydrase 2,5DU,28001003,0,E.C.-.-.-.-,(2017) ChemMedChem Vol. 12: pp. 161-176,P00918
313,5drs,general,Protein-Ligand,1.1,Kd=1.1nM,8.96,2016,Carbonic anhydrase 2,5EF,28001003,0,E.C.-.-.-.-,(2017) ChemMedChem Vol. 12: pp. 161-176,P00918
314,5e28,refined,Protein-Ligand,1.3,Ki=12.3nM,7.91,2016,human Carbonic anhydrase 2,BC5,26741028,0,E.C.4.2.1.1 ,(2016) J.Med.Chem. Vol. 59: pp. 721-732,P00918
315,5e2k,refined,Protein-Ligand,1.4,Ki=9.3nM,8.03,2016,human Carbonic anhydrase 2,BX4,26741028,0,E.C.4.2.1.1 ,(2016) J.Med.Chem. Vol. 59: pp. 721-732,P00918
316,5e2m,general,Protein-Ligand,1.41,Kd=59nM,7.23,2016,Carbonic anhydrase 1,V14,28001003,0,E.C.-.-.-.-,(2017) ChemMedChem Vol. 12: pp. 161-176,P00915
317,5e2n,general,Protein-Ligand,1.53,Kd=0.29nM,9.54,2016,Carbonic anhydrase 13,V14,28001003,0,E.C.-.-.-.-,(2017) ChemMedChem Vol. 12: pp. 161-176,Q8N1Q1
318,5e2r,refined,Protein-Ligand,1.6,Ki=86.2nM,7.06,2015,Carbonic anhydrase II,520,26497049,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 8564-8572,P00918
319,5e2s,refined,Protein-Ligand,1.5,Ki=0.98nM,9.01,2016,human Carbonic anhydrase 2,5CX,26741028,0,E.C.4.2.1.1 ,(2016) J.Med.Chem. Vol. 59: pp. 721-732,P00918
320,5eh5,refined,Protein-Ligand,1.21,Kd=1.35uM,5.87,2016,human carbonic anhydrase II,XCZ,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
321,5eh7,refined,Protein-Ligand,1.43,Kd=330uM,3.48,2016,human carbonic anhydrase II,5O5,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
322,5eh8,refined,Protein-Ligand,1.38,Kd=791uM,3.1,2016,human carbonic anhydrase II,5O6,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
323,5ehe,general,Protein-Ligand,1.5,Kd=4.8nM,8.32,2016,Carbonic anhydrase 2,WWO,28001003,0,E.C.-.-.-.-,(2017) ChemMedChem Vol. 12: pp. 161-176,P00918
324,5ehv,refined,Protein-Ligand,1.21,Kd=826uM,3.08,2016,human carbonic anhydrase II,5ON,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
325,5ehw,refined,Protein-Ligand,1.39,Kd=1005uM,3,2016,human carbonic anhydrase II,5OO,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
326,5eij,refined,Protein-Ligand,1.99,Ki=4860nM,5.31,2016,Carbonic anhydrase 2,5OT,26810836,0,E.C.-.-.-.-,(2016) Bioorg. Med. Chem. Vol. 24: pp. 976-981,P00918
327,5ekh,general,Protein-Ligand,1.34,Kd=1.11uM,5.95,2016,Human Carbonic Anhydrase II,5RD,26692420,0,E.C.4.2.1.1 ,(2016) Angew.Chem.Int.Ed.Engl. Vol. 55: pp. 1733-1736,P00918
328,5ekj,general,Protein-Ligand,1.13,Kd=1uM,6,2016,Human Carbonic Anhydrase II,TG4,26692420,0,E.C.4.2.1.1 ,(2016) Angew.Chem.Int.Ed.Engl. Vol. 55: pp. 1733-1736,P00918
329,5ekm,refined,Protein-Ligand,1.33,Kd=0.48uM,6.32,2016,Human Carbonic Anhydrase II,TG5,26692420,0,E.C.4.2.1.1 ,(2016) Angew.Chem.Int.Ed.Engl. Vol. 55: pp. 1733-1736,P00918
330,5fdc,refined,Protein-Ligand,1.75,Ki=34.8nM,7.46,2016,human Carbonic anhydrase 2,5WN,27151329,0,E.C.4.2.1.1,(2016) Org.Biomol.Chem. Vol. 14: pp. 4853-4858,P00918
331,5fdi,refined,Protein-Ligand,1.85,Ki=18.5nM,7.73,2016,human Carbonic anhydrase 2,5WM,27151329,0,E.C.4.2.1.1,(2016) Org.Biomol.Chem. Vol. 14: pp. 4853-4858,P00918
332,5fl4,refined,Protein-Ligand,1.82,Ki=101nM,7,2015,human carbonic anhydrase IX,9FK,26522624,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 9004,Q16790
333,5fl5,refined,Protein-Ligand,2.05,Ki=6.4nM,8.19,2015,human carbonic anhydrase IX,82E,26522624,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 9004,Q16790
334,5fl6,refined,Protein-Ligand,1.95,Ki=43.6nM,7.36,2015,human carbonic anhydrase IX,Y0R,26522624,0,E.C.4.2.1.1,(2015) J.Med.Chem. Vol. 58: pp. 9004,Q16790
335,5flo,refined,Protein-Ligand,1.66,Kd=709uM,3.15,2016,human carbonic anhydrase II,J4K,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
336,5flp,general,Protein-Ligand,1.71,Kd=631uM,3.2,2016,human carbonic anhydrase II,6J5,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
337,5flq,refined,Protein-Ligand,1.7,Kd=1080uM,2.97,2016,human carbonic anhydrase II,IO2,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
338,5fls,refined,Protein-Ligand,1.67,Kd=905uM,3.04,2016,human carbonic anhydrase II,6ZX,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
339,5flt,refined,Protein-Ligand,1.67,Kd=1280uM,2.89,2016,human carbonic anhydrase II,VJJ,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
340,5fng,refined,Protein-Ligand,2.05,Kd=1105uM,2.96,2016,human carbonic anhydrase II,YIE,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
341,5fni,general,Protein-Ligand,1.6,Kd=330uM,3.48,2016,human carbonic anhydrase II,YIH,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
342,5fnj,general,Protein-Ligand,1.67,Kd=5150uM,2.29,2016,human carbonic anhydrase II,YI6,26882437,0,E.C.4.2.1.1,(2016) J.Med.Chem. Vol. 59: pp. 2192-2204,P00918
343,5gmm,general,Protein-Ligand,2,Kd=29.1uM,4.54,2017,Carbonic anhydrase 1,949,27475498,0,E.C.-.-.-.-,(2016) Biochem. Biophys. Res. Commun. Vol. 478: pp. 1-6,P00915
344,5gmn,refined,Protein-Ligand,1.8,Kd=18.8uM,4.73,2017,Carbonic anhydrase 2,949,27475498,0,E.C.-.-.-.-,(2016) Biochem. Biophys. Res. Commun. Vol. 478: pp. 1-6,P00918
345,5j8z,refined,Protein-Ligand,1.7,Ki=5.0nM,8.3,2016,Human carbonic anhydrase II,FC4,27316543,0,E.C.4.2.1.1 ,(2016) Bioorg.Med.Chem. Vol. 24: pp. 3643-3648,P00918
346,5ljq,refined,Protein-Ligand,1.05,Ki=1nM,9,2017,Carbonic anhydrase 2,ANV,27933963,0,E.C.-.-.-.-,(2016) J. Med. Chem. Vol. 59: pp. 10692-10704,P00918
347,5ljt,refined,Protein-Ligand,1,Ki=1.2nM,8.92,2017,Carbonic anhydrase 2,A6N,27933963,0,E.C.-.-.-.-,(2016) J. Med. Chem. Vol. 59: pp. 10692-10704,P00918
348,5ll4,general,Protein-Ligand,1.12,Kd=4nM,8.4,2017,Carbonic anhydrase 2,6YH,,0,E.C.-.-.-.-,(2017) Chemistryselect Vol. 2: pp. 5360-5371,P00918
349,5ll5,general,Protein-Ligand,1.42,Kd=909nM,6.04,2017,Carbonic anhydrase 12,6YH,,0,E.C.-.-.-.-,(2017) Chemistryselect Vol. 2: pp. 5360-5371,O43570
350,5ll9,general,Protein-Ligand,1.45,Kd=833nM,6.08,2017,Carbonic anhydrase 12,6YQ,,0,E.C.-.-.-.-,(2017) Chemistryselect Vol. 2: pp. 5360-5371,O43570
351,5lla,general,Protein-Ligand,1.5,Kd=18.9nM,7.72,2017,Carbonic anhydrase 13,6YQ,,0,E.C.-.-.-.-,(2017) Chemistryselect Vol. 2: pp. 5360-5371,Q8N1Q1
352,5llc,refined,Protein-Ligand,1.1,Kd=0.3nM,9.52,2017,Carbonic anhydrase 2,V26,29503769,0,E.C. 4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,P00918
353,5lle,refined,Protein-Ligand,1.9,Kd=0.060nM,10.22,2017,Carbonic anhydrase 2,V51,29503769,0,E.C. 4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,P00918
354,5llg,refined,Protein-Ligand,1.12,Kd=0.0074nM,11.13,2017,Carbonic anhydrase 2,VD9,29503769,0,E.C. 4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,P00918
355,5llh,refined,Protein-Ligand,1.9,Kd=0.067nM,10.17,2017,Carbonic anhydrase 2,V49,29503769,0,E.C. 4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,P00918
356,5llo,refined,Protein-Ligand,1.6,Kd=0.4nM,9.4,2017,Carbonic anhydrase 12,5EF,29503769,0,E.C.4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,O43570
357,5llp,refined,Protein-Ligand,1.48,Kd=0.58nM,9.24,2017,Carbonic anhydrase 12,6Z9,29503769,0,E.C.4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,O43570
358,5mjn,refined,Protein-Ligand,1.17,Ki=2.9nM,8.54,2017,Carbonic anhydrase 2,7O8,28024887,0,E.C.4.2.1.1,(2017) Bioorg. Med. Chem. Vol. 25: pp. 857-863,P00918
359,5msb,refined,Protein-Ligand,1.3,Kd=35nM,7.46,2018,Carbonic anhydrase 12,V13,29503769,0,E.C.4.2.1.1,(2018) PeerJ Vol. 6: pp. e4412-e4412,O43570
360,5n0d,refined,Protein-Ligand,1.7,Ki=3.3nM,8.48,2017,Carbonic anhydrase 2,8F2,28453941,0,E.C.4.2.1.1,(2017) J. Med. Chem. Vol. 60: pp. 4316-4326,P00918
361,5n0e,refined,Protein-Ligand,1.75,Ki=3.6nM,8.44,2017,Carbonic anhydrase 2,8F3,28453941,0,E.C.4.2.1.1,(2017) J. Med. Chem. Vol. 60: pp. 4316-4326,P00918
362,5n1r,refined,Protein-Ligand,1.3,Ki=11.1nM,7.95,2017,human carbonic anhydrase II,8GH,,0,E.C.4.2.1.1,(2018) Inorg.Chim.Acta. Vol. 470: pp. 128-132,P00918
363,5n1s,refined,Protein-Ligand,1.3,Ki=10.2nM,7.99,2017,human carbonic anhydrase II,8GE,,0,E.C.4.2.1.1,(2018) Inorg.Chim.Acta. Vol. 470: pp. 128-132,P00918
364,5n24,refined,Protein-Ligand,1.5,Ki=1.2nM,8.92,2017,human carbonic anhydrase II,8HE,,0,E.C.Homo sapiens,(2018) Inorg.Chim.Acta. Vol. 470: pp. 128-132,P00918
365,5n25,refined,Protein-Ligand,1.4,Ki=16.6nM,7.78,2017,human carbonic anhydrase II,8HK,,0,E.C.4.2.1.1,(2018) Inorg.Chim.Acta. Vol. 470: pp. 128-132,P00918
366,5nea,refined,Protein-Ligand,1.3,Ki=0.05nM,10.3,2017,Carbonic anhydrase 2,8V8,28728897,0,E.C.4.2.1.1,(2017) Bioorg. Med. Chem. Vol. 25: pp. 4560-4565,P00918
367,5nee,refined,Protein-Ligand,1.7,Ki=0.02nM,10.7,2017,Carbonic anhydrase 2,8V5,28728897,0,E.C.4.2.1.1,(2017) Bioorg. Med. Chem. Vol. 25: pp. 4560-4565,P00918
368,5nxg,refined,Protein-Ligand,1.2,Ki=2.8nM,8.55,2018,Carbonic anhydrase 2	,RA1,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
369,5nxi,refined,Protein-Ligand,1.16,Ki=217.4nM,6.66,2018,Carbonic anhydrase 2	,9DE,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
370,5nxo,refined,Protein-Ligand,1.2,Ki=4.9nM,8.31,2018,Carbonic anhydrase 2	,9HK,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
371,5nxp,refined,Protein-Ligand,1.25,Ki=10.2nM,7.99,2018,Carbonic anhydrase 2	,9DH,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
372,5nxv,general,Protein-Ligand,1.1,Ki=3.5nM,8.46,2018,Carbonic anhydrase 2	,900,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
373,5nxw,refined,Protein-Ligand,1.1,Ki=57.4nM,7.24,2018,Carbonic anhydrase 2	,RA9,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
374,5ny1,refined,Protein-Ligand,1.1,Ki=366.7nM,6.44,2018,Carbonic anhydrase 2	,900000,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
375,5ny3,refined,Protein-Ligand,1.4,Ki=33.9nM,7.47,2018,Carbonic anhydrase 2	,900000000,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
376,5ny6,general,Protein-Ligand,1.1,Ki=13.5nM,7.87,2018,Carbonic anhydrase 2	,R92,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
377,5nya,refined,Protein-Ligand,1.2,Ki=415.6nM,6.38,2018,Carbonic anhydrase 2	,FB2,29316128,0,E.C.4.2.1.1,(2018) Chemphyschem Vol. 19: pp. 873-879,P00918
378,5o07,refined,Protein-Ligand,1.8,Ki=33.8nM,7.47,2017,Carbonic anhydrase 2,1VQ,28738704,0,E.C.4.2.1.1,(2017) J Enzyme Inhib Med Chem Vol. 32: pp. 1002-1011,P00918
379,5sz0,refined,Protein-Ligand,1.63,Ki=0.8nM,9.1,2016,human Carbonic anhydrase 2,72D,27860128,0,E.C.4.2.1.1,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
380,5sz1,refined,Protein-Ligand,1.55,Ki=1.2nM,8.92,2016,human Carbonic anhydrase 2,72E,27860128,0,E.C.4.2.1.1 ,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
381,5sz2,refined,Protein-Ligand,1.63,Ki=2.0nM,8.7,2016,human Carbonic anhydrase 2,72G,27860128,0,E.C.4.2.1.1 ,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
382,5sz3,refined,Protein-Ligand,1.69,Ki=2.5nM,8.6,2016,human Carbonic anhydrase 2,72H,27860128,0,E.C.4.2.1.1 ,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
383,5sz4,refined,Protein-Ligand,1.6,Ki=0.2nM,9.7,2016,human Carbonic anhydrase IX-mimic,72D,27860128,0,E.C.4.2.1.1 ,(2017) Chembiochem Vol. 18: pp. 213-222,P00918
